,Tweet,following,followers,actions,is_retweet,location,Type,Unnamed: 7,Type_num
270,A petition we deserve #Brexit https://t.co/euHZqa9UmZ,10630.0,51823.0,17239.0,0.0,"Ahmadabad City, India",Spam,,1
272,"I am who I am. I like what I like. I love who I love. I do what I want. Get off my back and deal with it. It's my life, not yours.",92200.0,119000.0,109.0,0.0,*Parody Account to Inspire*,Quality,,0
275,"This is probably my favourite TV moment of ALL time  #GayShark
https://twitter.com/GoggleboxQuotes/status/731414074110672897/video/1 …",0.0,1740000.0,,0.0,"Newcastle, UK",Quality,,0
288,Ah yes. My final invention. A combination of two of my favorite things: base ball and deadly gunfire.https://twitter.com/mlbcathedrals/status/732552527250493440 …,0.0,74000.0,143.0,0.0,,Quality,,0
302,'@Ike_FEENman @Ind0ctr1n3 what's your solution?',19671.0,49149.0,15378.0,0.0,06/01/14,Spam,,1
305,Hi Molly.  Press an hold the power button until the console turns off.,0.0,1400000.0,,1.0,,Quality,,0
333,"happy birthday, love. 

#HappyTaeyangDay #TL #HAPPYBAEBAEDAYpic.twitter.com/ZPuRhVoje3",67200.0,84400.0,28.0,0.0,NISERA GROUP,Quality,,0
372,Incredible Miniature Landmarks Take Over Times Square https://t.co/9Mjf7tcXBQ https://t.co/jAyJSKkqwE,11821.0,61722.0,51048.0,0.0,"Appleton, Wisconsin",Spam,,1
379,"Relive the key moments from an exciting @FIAWorldRX event in Mettet, Belgium! #WorldRX #MettetRXhttps://amp.twimg.com/v/298b2697-5eb1-4608-946c-e9405bc24da8 …",0.0,370000.0,85.0,0.0,,Quality,,0
385,"Costa, Mata, Cazorla or Torres not good enough for Spain.

Delph, Townsend, Henderson and Milner will do for Englandpic.twitter.com/s9gGQd1LaX",0.0,42400.0,,0.0,18+ only!,Quality,,0
389,When you realize the #NBALottery is tonight and you could get the No. 1 pickpic.twitter.com/ubDrnZevLT,0.0,6910000.0,,0.0,,Quality,,0
401,Chloë Moretz and Brooklyn Beckham have made their red carpet debut as a couple http://bzfd.it/1TG1N5Z pic.twitter.com/czaH1DOdMf,0.0,6530000.0,,0.0,New York,Quality,,0
409,Auburn's Tray Matthews tried to save himself flying over Leonard Fournette https://t.co/jw73dacEH0,13144.0,27771.0,44233.0,0.0,"District of Columbia, USA",Spam,,1
425,"kasper0524: Spoken kind of love only 
Chanyeol: If it's like that, I'll think about it again 

pic.twitter.com/5TnEmZ3Qw4",0.0,32400.0,,0.0,61'94'04'토벤이,Quality,,0
431,"Grab your @DunkinDonuts coffee and donut, your headphones, and head over to #AllBusiness on @PlayIt! http://bit.ly/PlayIt-Hayzlett",487000.0,602000.0,3.0,0.0,"Sioux Falls, SD",Quality,,0
455,This isn't the America I love anymore https://t.co/OFefWivLEU,20694.0,27206.0,14311.0,0.0,eliwood city,Spam,,1
460,"White House snubs Chaffetz, refuses to let aide testify after controversial Iran remarks | via @foxnewspolitics |http://fxn.ws/1stKWO5",0.0,18500000.0,203.0,0.0,U.S.A.,Quality,,0
466,"Yep. #AgentMay is a BADASS #Lego figure. I'm so STOKED! 

@LEGOMarvelGame DLC is out. #Avengers #AgentsofSHIELDpic.twitter.com/rx8DQTZdzy",0.0,475000.0,,0.0,Always on top,Quality,,0
469,"Lafayette 'flag desecration' arrest unconstitutional, ACLU says https://t.co/euKMURKKI6",7180.0,27656.0,41938.0,0.0,NEW YORK,Spam,,1
478,"He who covers over an offense promotes love, but whoever repeats the matter separates close friends. -Proverbs 17:9",0.0,2850000.0,,0.0,,Quality,,0
483,"Who are you voting for?

RT for Waka
Fav for Hillarypic.twitter.com/2aMedBz8te",0.0,1920000.0,,0.0,The Mancave,Quality,,0
494,Thank you @_KOOKAI_ for the gorgeous dress! I felt like Bianca Jagger partying at #Studio54 in it! Fit like a glovepic.twitter.com/5fFtKKR8HM,0.0,745000.0,,0.0,"B'klyn, NYC, LA",Quality,,0
502,We need policies that address racism in health care!,29549.0,30114.0,3499.0,0.0,"Calabasas, CA",Spam,,1
507,A clue to @realDonaldTrump 's appealpic.twitter.com/B8H5z973rH,0.0,1160000.0,1415.0,0.0,walking into spiderwebs,Quality,,0
510,"...I probably don't even need to say that, but I'll report any news I come across and I'll respond to any questions when I can.",0.0,29600.0,2.0,0.0,"Tampa, FL",Quality,,0
522,Great company. 3 cokes-9 bottles water-4 bars-6 gels. 102 miles. Big mountain. Bike. Does a day get any better?pic.twitter.com/qsS6hB352s,0.0,55200.0,187.0,0.0,Charlotte NC,Quality,,0
525,"TWEETS REPORT NOW 1.01 MILLION 
STAY STRONGER UNITED ADN  
RETWEET NOW WITH BIG SMILE 
#ALDUBLoversInITALYpic.twitter.com/UayVbBxioj",0.0,49700.0,528.0,0.0,"Manila, Philippines",Quality,,0
539,What good cons are they in Germany from July-September?,0.0,44400.0,57.0,0.0,Everywhere,Quality,,0
555,Tony Stewart kicks back with some @IMS legends. #NASCAR #IndyCar http://foxs.pt/1OxGr9q,0.0,817000.0,67.0,0.0,,Quality,,0
571,It's........ VERY hot  https://twitter.com/larryxxhaz/status/732566814459224064 …,0.0,53000.0,,0.0,{click the link if you're new},Quality,,0
584,Welcome back nanay and Coleen #ALDUBLoversInITALY (W)pic.twitter.com/iylzNBkDG3,0.0,30300.0,,0.0,JAPAN,Quality,,0
589,Never forget who helped you out while everyone else gave excuses.,0.0,275000.0,,0.0,NYC,Quality,,0
592,Hanley Ramirez is such a fool pic.twitter.com/DlFohFZ2lh,0.0,416000.0,,0.0,DM content to be featured,Quality,,0
611,".@LittleMix presented with discs to celebrate being named Biggest UK Arena Tour of 2016 selling over 300,000 ticketspic.twitter.com/R5vvVuCJyi",0.0,31100.0,718.0,0.0,MNL,Quality,,0
614,Feds won't use statement from suspect in Chelsea bombing case https://t.co/o6no61bj0U https://t.co/WMD0vRD3cc,5965.0,60755.0,44862.0,0.0,Not in her comfort zone,Spam,,1
615,Get tips for navigating the Transformation Zone at #HPEDiscover & browse demos: http://hpe.to/6017BW3LZ pic.twitter.com/3tSCULOehO,0.0,66600.0,17.0,0.0,"Madrid, Spain",Quality,,0
618,.@cblatts on @NPRatc about @dmckenzie001 study of the time a Nigerian official really did give way $36 Million 1/2pic.twitter.com/ZnftOCIRoV,0.0,32800.0,,0.0,Global,Quality,,0
639,VIDEO: Watch the goals that helped Jonathan Kodjia receive a call up to @FIFCI_tweet #BristolCity http://youtu.be/yk7mhIZVEhA,0.0,164000.0,,0.0,"Ashton Gate, Bristol",Quality,,0
646,"On this day 23 years ago, Michael Jordan hit the game-winning, series-clinching shot to sweep the Cavaliers.http://es.pn/1TXriCv?sf26426361=1 …",0.0,35300000.0,,0.0,,Quality,,0
649,Crying is how your body speaks when your mouth can't explain the pain you feel.,0.0,670000.0,,0.0,,Quality,,0
651,Sometimes what you're most afraid of doing is the very thing that will set you free.,0.0,575000.0,367.0,0.0,,Quality,,0
653,"Demolish the Canal Street ferry terminal, New Orleans City Council decides https://t.co/8USwXnmvlt https://t.co/Rvy8DCHJYj",11768.0,28222.0,44817.0,0.0,"Serving Son, Marin, Napa, SF",Spam,,1
666,When you touch her and she touches backhttps://vine.co/v/iBImLOODDJB,0.0,1920000.0,,0.0,The Mancave,Quality,,0
668,A six-goal thriller at the Liberty Stadium #onthisday last year. #mcfchttp://snpy.tv/27uDkL3,53500.0,6730000.0,224.0,0.0,Etihad Stadium,Quality,,0
669,"Whoop, thanks for the shout out, friends! Can't wait for the upcoming collabs :) –Ashton",0.0,61400.0,,1.0,,Quality,,0
683,Eric Garner chokehold cop ties the knot https://t.co/7DGf25MPCF,10443.0,61708.0,55545.0,0.0,"Washington, D.C / DTX",Spam,,1
690,#CNBLUE #Minhyuk gazes lovingly at #GirlsDay #Hyeri in new still cuts of #Entertainer upcoming ep #KoreanUpdates RZpic.twitter.com/YE8ZfZxGFB,48000.0,189000.0,210.0,0.0,Indonesia,Quality,,0
692,This is unofficial！pic.twitter.com/o3554Nq72N,0.0,44900.0,863.0,0.0,,Quality,,0
696,Twitter's new beta program lets developers put ads in embedded streams http://thenextweb.com/apps/2016/05/17/twitter-ads-in-tweets-beta/ …pic.twitter.com/rdshsfxcgo,0.0,1750000.0,44.0,0.0,"Amsterdam, The Netherlands",Quality,,0
697,Why did it offend you so much? @deray https://t.co/IOMPd4NUEI,15354.0,49670.0,15790.0,0.0,New Hampshire/Florida,Spam,,1
702,Clarify: white male colleagues.,0.0,82200.0,,0.0,RVA,Quality,,0
716,The day the internet died.,0.0,63200.0,,0.0,"Milano, Italia",Quality,,0
720,"Praise from Supreme Leader Kim Jong-Un for triumphant victory is better than any performance enhancing drug, leading athletic trainers say.",0.0,335000.0,254.0,0.0,"Pyongyang, DPRK",Quality,,0
727,"#DYK: @UNFPA has trained 66,000 #midwives, who can help over 11 million women give birth safely annually. #WD2016pic.twitter.com/3eQCkKnpeK",0.0,186000.0,,0.0,,Quality,,0
742,He's still free  #WalterScott https://t.co/HUZKgozwHG,17833.0,25649.0,3083.0,0.0,,Spam,,1
756,"Before college: forever alone
After college: forever a loan",0.0,15000000.0,,0.0,Universe,Quality,,0
766,"Car Runs Over Woman on Staten Island, Keeps Going: Police https://t.co/IG7UcYDGhr https://t.co/MkJSCgxElS",9727.0,61698.0,58830.0,0.0,"Paris, France",Spam,,1
775,Millennials will never get it: instead of burning American flags they should be greatful they live in a free country  #MakeAmericaGreatAgain https://t.co/W5kqW6oX7B,25180.0,33607.0,5759.0,0.0,91018,Spam,,1
779,Donald Trump talking to House GOP July 7 https://t.co/3IrrwXhmxJ #politics,10302.0,25004.0,37643.0,0.0,Amsterdam baby,Spam,,1
782,me and paddy like a brick wall .. Nothing to worry about David ...,0.0,33200000.0,,1.0,Doncaster,Quality,,0
785,Loving #Brighton planning our next #AKO fundraiser whoop #autismpic.twitter.com/uSfle1De6W,32300.0,62500.0,30.0,0.0,"Warrensburg, MO",Quality,,0
794,Manish Girotra when in UBS refused to respond/help our ED on black money of the old Lichtenstein/ HSBC list--Jai hohttps://twitter.com/theprintindia/status/732565017980227586 …,0.0,67900.0,44.0,0.0,,Quality,,0
799,"Final Card Count for this season of URealms is 799, I had to cut a bunch of stuff for now because of Tabletop Limitations.",0.0,25900.0,109.0,0.0,"Toronto, Ontario",Quality,,0
800,The effective use of affirmations depends entirely on how much you believe them. Belief adds power to your words.pic.twitter.com/JQkK5efHq5,0.0,535000.0,,0.0,,Quality,,0
826,Best of luck to the CPL duo @zamps63 & @PereraThisara who are in action today against Delhi Daredevils! RALLY HARD! #RPSvDD,0.0,180000.0,17.0,0.0,Caribbean,Quality,,0
827,"Chrysler Worker Shuts Michael Moore Up: ""Trump has done more for me than any Democrat has done in my lifetime."" https://t.co/Cq5O48YG8s",26739.0,27733.0,2237.0,0.0,Windsor  ✈️ Vancouver,Spam,,1
843,Thank you @_KOOKAI_ for the gorgeous dress! I felt like Bianca Jagger partying at #Studio54 in it! Fit like a glovepic.twitter.com/5fFtKKR8HM,0.0,745000.0,,0.0,"B'klyn, NYC, LA",Quality,,0
857,Me every morning https://twitter.com/BabyAnimalPics/status/600973023760515072/photo/1pic.twitter.com/9xuUBMdO8J,0.0,1300000.0,1649.0,0.0,,Quality,,0
866,Our reaction to last night's #PersonOfInterest went something like  Watch it now: http://bit.ly/watchPOI pic.twitter.com/S819p9mrDm,0.0,301000.0,,0.0,,Quality,,0
868,Are you looking to sharpen your knowledge on the cutting-edge tools & techniques? Explore #GRI2016 Marketplace -> http://bit.ly/1OxBiy3,0.0,35000.0,4.0,0.0,"Amsterdam, The Netherlands",Quality,,0
887,"Those people who complain about a problem, then you ask ""what's wrong"" and then they say ""it's nothing"". It's clearly not nothing...",0.0,1900000.0,,0.0,My Mother's Womb,Quality,,0
896,Beyond parody.https://twitter.com/thehill/status/732549489798615041 …,0.0,142000.0,127.0,0.0,The Sunshine State,Quality,,0
907,I posted a new photo to Facebook http://fb.me/4YAXhYNef,0.0,32500.0,0.0,0.0,California,Quality,,0
909,"""Gender equality is not a women's agenda. It's an agenda for humanity."" - Crown Princess Mary of Denmark at #WD2016.pic.twitter.com/12IGwG1VwI",0.0,1580000.0,,0.0,Tool Time,Quality,,0
949,Israeli Defense Forces General Likens Israel To 1930s Germany On Holocaust Remembrance Dayhttp://www.mintpressnews.com/israeli-defense-forces-general-likens-israel-1930s-germany-holocaust-remembrance-day/216436/ …,0.0,25900.0,89.0,0.0,"Marshall, MN",Quality,,0
951,Jay Z First Time Hearing Beyonce Albumhttps://amp.twimg.com/v/0f9a6e06-12eb-402c-a85a-f159b3ec93fd …,0.0,1490000.0,,0.0,"Detroit,MI - Los Angeles,CA",Quality,,0
955,I want a German Shepherd Husky pic.twitter.com/L7vYbKI5IO,0.0,45800.0,,0.0,,Quality,,0
956,#Matchday another game another cup final and another huge step towards the title.. Lets go get those vital 3ptspic.twitter.com/cAO5P1fgnj,0.0,159000.0,,0.0,"Cairo,Egypt",Quality,,0
958,"Details of the PPA signed with NTPC for the Largest Solar Park in the World at Pavagada 

http://www.dksinc.in/news/historic-agreement-signed-for-pavagada-mega-solar-park/ …pic.twitter.com/DBok8TeUhq",0.0,85100.0,,0.0,ಕರ್ನಾಟಕ,Quality,,0
963,"""If you kill a police officer, you should be put up for execution""  ~ @BoDietl   I agree 100% - NO EXCEPTIONS  #MAGA https://t.co/ESnrRoyES0",24505.0,25922.0,2076.0,0.0,Universe,Spam,,1
966,Betul https://twitter.com/dayahhasim/status/732565471929630721 …,0.0,49800.0,,0.0,KL,Quality,,0
967,'@mrstutt    https://t.co/TDNdqDL35S',31071.0,34529.0,4247.0,0.0,"Pilin, Rembau, Negeri Sembilan",Spam,,1
971,"once a girl is sexually attracted to you AND comfortable with you, boiiii you'll learn how freaky girls are.",0.0,3990000.0,,0.0,SnapChat: HornyPeekers,Quality,,0
979,"#PARANORMAL
@FrostFyre
GUARDIAN OF THE DEEP
Captivating Tale w Forbidden #Romance
#ASMSG
http://www.amazon.com/Guardian-Deep-Flossie-Benton-Rogers-ebook/dp/B015P8FGY6/ref=la_B009VJ60EG_1_1 …pic.twitter.com/qD9rYr5867",134000.0,152000.0,3.0,0.0,Illinois,Quality,,0
983,"160318  hey playboy #찬열 #레이
https://c2.staticflickr.com/8/7090/27005146461_24b9be6996_o.jpg …pic.twitter.com/1UVCMkINFq",0.0,42600.0,,0.0,,Quality,,0
999,Had so much fun seeing you all yesterday in @hmvmanchester for #GiveItUp signings!! Who's coming to Westfield in Shepherd's Bush tomorrow?!,0.0,1540000.0,936.0,0.0,Gloucester,Quality,,0
1009,"#Russian, #Syrian diplomats discuss memorandum on de-escalation zones  https://t.co/9e9UmTN7EI https://t.co/RnBO5NLSjo",10220.0,31796.0,13436.0,0.0,maidstone / leeds,Spam,,1
1022,Blame it on the sun. This is seriouspic.twitter.com/qNVtGwGxVp,10900.0,53900.0,567.0,0.0,"Lagos, Nigeria",Quality,,0
1035,Theultimatereactionvideo. @Calum5SOS @Michael5SOS wearefivesospic.twitter.com/rSLLpmLREW,30200.0,12600000.0,,0.0,"Sydney, Australia",Quality,,0
1042,Pharma Bro quotes Jay-Z to explain why he wont testify https://t.co/Q6PX8wH2gy https://t.co/dyjrYjPdka,9737.0,61717.0,58178.0,0.0,London/Delhi,Spam,,1
1043,#BREAKING Nashville Songwriters Hall of Famer Guy Clark dead at 74 http://tnne.ws/1rRrRVe pic.twitter.com/ZtHjBcY7D2,0.0,279000.0,124.0,0.0,"Nashville, TN",Quality,,0
1045,"Harvey Price just said 

""Hello you cunt"" 

live on television!! pic.twitter.com/FsfFCypG6w",0.0,60200.0,1591.0,0.0,The Fridge,Quality,,0
1061,Thank you for presenting at yesterday's #DofE Buckingham Palace Gold Award Presentation @coxlesscrew. Hope you enjoyed it! #WeAreDofE,0.0,29700.0,,0.0,"Windsor, UK.",Quality,,0
1079,Different styles of fighting !!! PT2pic.twitter.com/sYuu7LllMg,0.0,217000.0,884.0,0.0,"Los Angeles, CA",Quality,,0
1094,"[HQ]160512 #CHANYEOL at ICN AIRPORT 1
Cr.SAB
https://c2.staticflickr.com/8/7504/26755476010_8fb0726df4_o.jpg …
https://c2.staticflickr.com/8/7317/26755475960_baabbd0b08_o.jpg …
https://c2.staticflickr.com/8/7289/26426014933_07b48af5cf_o.jpg …pic.twitter.com/QIFko5f0S8",0.0,236000.0,,0.0,,Quality,,0
1095,34 DAYS UNTIL SUMMER   pic.twitter.com/97GFhFcrH1,0.0,3620000.0,169.0,0.0,"New York, NY",Quality,,0
1097,"On a scale of one to 10, air quality in Fort McMurray an off-the-charts 38 http://ow.ly/J1XK300hAWu pic.twitter.com/mzHnqVBzfJ",0.0,737000.0,72.0,0.0,,Quality,,0
1098,CY: That (kind) of love.. I'll acceptpic.twitter.com/TmVGben8Td,0.0,32400.0,,0.0,61'94'04'토벤이,Quality,,0
1118,Now Is Not a Normal Time: Central Banks Buying Piles of Gold http://bit.ly/1TlvhIW  @SchiffGold,0.0,145000.0,59.0,0.0,Fully Updated Book!,Quality,,0
1125,"Ramadan Appeal: £50 will help provide iftar to needy families across the ummah  

Donate: http://Justgiving.com/Ramadan pic.twitter.com/q7wysRWgnp",0.0,836000.0,125.0,0.0,,Quality,,0
1133,'@realDonaldTrump Tom Brady right now http://t.co/3SVmNoFYdE',7705.0,31579.0,7396.0,0.0,"Perth South, Ontario",Spam,,1
1147,keeping to myself  staying blessed  not giving a fuck  Ignoring negativity  living my life.,88000.0,116000.0,85.0,0.0,*Parody Account to Inspire*,Quality,,0
1161,This bullpens lit pic.twitter.com/xh0Ol4rsKd,0.0,135000.0,255.0,0.0,Instagram - Thiefs,Quality,,0
1179,"We were never trained to ‘succeed’, only trained to serve http://www.finalcall.com/artman/publish/Minister_Louis_Farrakhan_9/article_102044.shtml#.Vzsi1AtVET8.twitter …pic.twitter.com/tqHa6gKWPA",0.0,48200.0,548.0,0.0,"Chicago, IL USA",Quality,,0
1180,Right nowpic.twitter.com/iP4ltqB3Mx,28100.0,58400.0,142.0,0.0,Sydney,Quality,,0
1186,Did the refs miss a 4th quarter travel? pic.twitter.com/NqzIvugB1u,0.0,6910000.0,,0.0,,Quality,,0
1206,"Some people come in your life as blessings, others come in your life as lessons.",29900.0,27400.0,104.0,0.0,"Virginia Beach, VA",Quality,,0
1216,Wonderful celebration last night @V_and_A of #MBI2016 winner Han Kang's The Vegetarian translated @londonkoreanistpic.twitter.com/0uD1oYwxTU,0.0,94600.0,,0.0,,Quality,,0
1218,Why shldnt OM be chanted? Yoga is Hinduhttps://twitter.com/ndtv/status/732584917872181248 …,0.0,86300.0,43.0,0.0,India,Quality,,0
1222,"[HAPPY BIRTHDAY TAEYANG]
originally posted by http://yg-life.com 
@Realtaeyang #HAPPYTAEYANGDAY #HAPPYBAEBAEDAYpic.twitter.com/Lib0qxwsyr",0.0,5050000.0,,0.0,"Seoul, Korea",Quality,,0
1234,Freedom of speech lives on: I have finally decoded the MSM reports about clowns terrorizing America. Stay vigil! #CreepyClown watch https://t.co/FCByhYuLto,17517.0,59995.0,19992.0,0.0,DC ⏩NC,Spam,,1
1245,#BlackLivesMatter agenda Funny how they never mention it was blacks that sold other blacks into slavery https://t.co/7nc6fpp1I7,23699.0,70214.0,24686.0,1.0,"Edmonton, Alberta",Spam,,1
1247,"before u leave this heart of mine, pls take the time to let me know. how do u teach me to let you go? well? where, where do I go from here?",0.0,8890000.0,,0.0,,Quality,,0
1250,ITS OUT!!!! :] mv.....soon? :]pic.twitter.com/VaTmL0tf3H,0.0,2320000.0,,0.0,,Quality,,0
1252,Daily Reminder: This brave man exposed the DNC's corruption. He wasn't a Russian hacker. He was a patriotic American. HIS NAME WAS SETH RICH https://t.co/ICHIRy1FrC,64302.0,64885.0,6398.0,0.0,"Queensland, Australia",Spam,,1
1254,Double-double for Russell Westbrook late in Q3. 13p-10a. #ThunderUppic.twitter.com/pVRTesGd1t,0.0,2690000.0,863.0,0.0,Oklahoma City,Quality,,0
1258,Teen Forcibly Detained by Police Sues District for $11 Million https://t.co/pdJG83cg3A,12166.0,31772.0,28797.0,0.0,Camberwell,Spam,,1
1280,I'm so buzzing to hear our little champ @LeesJourney1 beat cancer  What a true fighter and a inspiration to us allhttps://twitter.com/leesjourney1/status/732153177873756160 …,0.0,180000.0,,0.0,"Glasgow, Scotland",Quality,,0
1281,I'm sorry ahli dawri!!!!!!,0.0,28800.0,,0.0,"Greece,Athens,marousi",Quality,,0
1289,The @BrowardSheriff's Office has responded to @MiamiPD's #RunningManChallenge!http://snpy.tv/1XuLMWn,0.0,379000.0,1608.0,0.0,Miami / Fort Lauderdale,Quality,,0
1296,You are not a drop in the ocean. You are the entire ocean in a drop. - Rumi @JeanetteJoy pic.twitter.com/afuvuwANbj #JoYTrain #SuccessTRAIN,180000.0,241000.0,41.0,0.0,"Georgia, USA",Quality,,0
1299,Do re mi fa so done with school,104000.0,164000.0,328.0,0.0,"University Park, TX",Quality,,0
1305,"For God so loved the world that he gave his one & only Son, that whoever believes in him shall not perish but have eternal life.- John 3:16",0.0,988000.0,1083.0,0.0,,Quality,,0
1306,160517 #Jonghyun #Minho - Anan Magazine. Credits: taemin2duckpic.twitter.com/YUiUmnGwGf,0.0,68900.0,509.0,0.0,,Quality,,0
1316,"""Bumrah is ready to play Test cricket."" Read what Ricky Ponting has to say: http://bit.ly/1WBjnyX  #DilSeIndianpic.twitter.com/AXHqPluVns",0.0,5000000.0,200.0,0.0,"Mumbai, India",Quality,,0
1354,160501 'PAGE TWO' 1st Fansign at Myeongdong #TZUYU #쯔위 #TWICE #트와이스 by pegasuspic.twitter.com/ZEdqeRzFEK,0.0,41800.0,,0.0,since 151220,Quality,,0
1358,The best speech ever!   America First!!!!!!!  #Inauguration #InaugurationDay,68541.0,69298.0,6642.0,0.0,18+ only!,Spam,,1
