,Id,Tweet,following,followers,actions,is_retweet,location
155,155,'@gold5K that's my idea',19213.0,48293.0,15163.0,0,Mapua University
156,156,let's do the things that we say on text,13900.0,190000.0,761.0,0,
157,157,Amazing that Crooked Hillary can do a hit ad on me concerning women when her husband was the WORST abuser of woman in U.S. political history,0.0,59200000.0,,0,"Washington, DC"
159,159,"Meet Danyela DAngelo, the 14-year-old girl who is dominating the competitive shooting field. https://t.co/BUzCDpVgAQ",42525.0,52956.0,3955.0,0,Pennsylvania
168,168,I'm crying pic.twitter.com/vAjAmdl9tn,0.0,28200.0,178.0,0,天朝：星霜之下 逆势择天
170,170,Ryan's request to block Clinton from intelligence briefings denied https://t.co/qbLfCs2OUC #politics,13636.0,25322.0,39318.0,0,exo ifnt vixx nct bp twice 9%
179,179,"The world is a mirror. It reflects back to you what you are. If you are loving, friendly, helpful. The world will be those things to you.",0.0,34600.0,222.0,0,ATL | LA
181,181,I f*cking love America #NationalFriedChickenDay http://t.co/6CeFZdT9PB,5185.0,26151.0,4158.0,0,"Lucknow, India"
182,182,"Woman, 30, stabbed in head with scissors outside Queens pool hall https://t.co/GefzCLrjt3 https://t.co/SXv9oLPiv1",11870.0,61444.0,49778.0,0,Malaysia
183,183,Man who hit baby's head with bottle bonks his noggin in cell https://t.co/XgBBn3tevv,12200.0,61182.0,50799.0,0,vinny@sigaint.org
197,197,"but the funniest thing is that exo even admitted that kyungsoo is like a ghost in exo's groupchat bcs he only replies them with an ""okay""",0.0,70500.0,,0,master threadlist
205,205,"#Iraq \| New #ISIS POV video from ""Wilayat al-Furat"" shows combat against Iraqi forces.  https://t.co/My3WHmpgBG https://t.co/MpjQuBhgk4",7497.0,29456.0,11927.0,0,new yawk
207,207,3 is smaller than 4 https://t.co/NOTfCnlqWO,28979.0,41441.0,8971.0,1,"Bethel, CT"
212,212,Tap: A wearable keyboard that turns everything you touch into a typing surface http://btl.st/23W2s8R pic.twitter.com/nDKCSMI4Vp,0.0,61000.0,148.0,0,Ahead of the curve
215,215,"Be frustrated when things don't move! DEMAND bigger challenges for and FROM yourself!

Complacency is dangerous. Mediocrity even more.",0.0,1340000.0,1451.0,0,South Africa & The World  🌏
217,217,Have a big #ShawnWorldTour announcement in a few minutes !,58400.0,21400000.0,,0,
226,226,Whoa!https://twitter.com/DJCincoPBeatz/status/732450943946481664 …,0.0,32000.0,,0,"Houston,TX"
262,262,When youve trusted the wrong personpic.twitter.com/YQHotCU93D,70300.0,224000.0,63.0,0,"Chicago, IL"
263,263,If you wanna be great you gotta be comfortable with being uncomfortable,0.0,849000.0,1472.0,0,UP THRU DERE!
278,278,"I want to have positive mind, flawless skin, and nice personality.",67100.0,225000.0,,0,Singapore
297,297,Check out LOUIS VUITTON Stephen Sprouse Roses KEEPALL 50 Travel Luggage Boston Hand Bag  http://www.ebay.com/itm/LOUIS-VUITTON-Stephen-Sprouse-Roses-KEEPALL-50-Travel-Luggage-Boston-Hand-Bag-/252391385243?roken=cUgayN&soutkn=jJf9xy … via @eBay,27500.0,25000.0,0.0,0,"Kyoto,Tokyo,Osaka,Japan"
298,298,Not happy? We'll make it right! Just send us your contact info & Sheetz location. Thanks!https://twitter.com/messages/compose?recipient_id=14813584 …,0.0,503000.0,,1,"Altoona, PA"
300,300,It costs 41 cents per year per American citizen for @NASAs entire Curiosity program https://t.co/vle42xebuL,10023.0,35212.0,10404.0,0,Tozeur Tunisia
302,302,I can't have sex with you if I can't see me having potential accidental kids with you,0.0,44300.0,897.0,0,in my lane
318,318,#TheFirst100DaysToDoList  3 days passed. Things done so far:  Rioters jailed Jobs coming back ISIS leader liquidated Obamacare replaced,25367.0,27524.0,2588.0,0,DMV
328,328,The party bosses want to seize the power from our voters to decide whom our candidates are. Their motto is simple: “the voters be damned.”,0.0,71900.0,359.0,0,"Orlando, FL"
329,329,keeping to myself  staying blessed  not giving a fuck  Ignoring negativity  living my life.,88000.0,116000.0,85.0,0,*Parody Account to Inspire*
338,338,"Katikies Hotel Cave Pool, Greecepic.twitter.com/GbVQu3hxWu",0.0,6570000.0,569.0,0,
358,358,Who Dat don't know what a po-boy is? W. Va. Saints fans take NOLA test https://t.co/QvncpdhN5z,13145.0,27750.0,44381.0,0,fl • ocrp
363,363,me and @arissedsnts were there in spirit pic.twitter.com/Ggq6QSjsX7,0.0,59700.0,,0,SF x MNL
366,366,"New Orleans Thursday weather: Partly sunny, pleasant https://t.co/vo0rLuLPRG https://t.co/7zlpQIpPbB",9408.0,28735.0,45295.0,0,bandung
370,370,"Photos: Obama grants Medal of Valor to 13 officers, says US must support police http://buff.ly/1XuXAI8 pic.twitter.com/fXqy6pK1jG",0.0,61400.0,61.0,0,Everywhere
371,371,Nigerian Senate [@NGRSenate] Withdraws Anti-Social Media Bill http://bit.ly/1TXt7zn,0.0,46900.0,,0,"Abuja, Nigeria"
374,374,This is why they hate us. Spread love! https://t.co/IPRGhuWAgs,46936.0,50612.0,3448.0,1,SLAM
380,380,"Zhoumi and Woohyun congratulating Tiffany for her 1st solo win on ""The Show"" http://disq.us/9ocg28  #Tiffany1stWinpic.twitter.com/wz4j8LxSNv",0.0,459000.0,,0,Worldwide Trends
387,387,The results are in! Who do you think won? @LittleMix's #Hair or @FifthHarmony’s #WriteOnMe? http://www.maximumpop.co.uk/little-mix-hair-vs-fifth-harmony-write-on-me …pic.twitter.com/1ALt1l00KT,0.0,130000.0,87.0,0,"Orlando, FL"
391,391,What a cool graphic for a great story. #ArtTherapy truly does amazing things for many.https://twitter.com/asccares/status/732584025206984704 …,15600.0,30600.0,,0,"Seattle, WA"
402,402,A cloudy Saturday before rain moves back in https://t.co/lDmNwlskky https://t.co/cbGUEj4Kyt,5612.0,25329.0,48447.0,0,Texas
411,411,"#Israeli city bans #NickiMinaj 's 'Anaconda,' claiming it promotes 'rape culture'  CURVES SPREAD LOVE  #NickiGMA http://t.co/TH7LkesD25",6680.0,28370.0,5050.0,0,Sac-Ra-Mento
416,416,the baby deal pic.twitter.com/HAz0TdlAkr,0.0,28400.0,,0,
421,421,Wouldn't that be great! I'm in! Who's writing the script?!  https://twitter.com/evilregal__/status/732541265821175808 …,0.0,745000.0,,0,"B'klyn, NYC, LA"
425,425,"#PDP used good governance agenda to fool people, has 'secret pact' with RSS: JKPCC http://bit.ly/1TXrBxd pic.twitter.com/hQT7AwGC62",0.0,2010000.0,,0,"Mumbai, India"
453,453,ROLLERBALL 1975 movie set in 2018 Energy Corporation a global corporate state controls all http://ow.ly/TuXL300aQ03 pic.twitter.com/FbHxINFwDP,75300.0,80000.0,0.0,0,"Lisbon, Portugal"
460,460,A bottle of water is like a gulp to me,0.0,38000.0,,0,
468,468,"Source: Moran called up, set to join Astroshttp://mlb.com/r/article?ymd=20160517&content_id=178612988&vkey=news_hou&c_id=hou …",0.0,52900.0,48.0,0,"Houston, Texas"
479,479,"When you're acting cool in front of someone but there's your friend, secretly messing with you at the back.pic.twitter.com/7PR9Pbb4Ks",0.0,601000.0,1365.0,0,credits on pics | fanacc
494,494,#Homs \| Clashes between #SAA and #ISIS in the vicinity of Sukhnah. SAA and allies advance from the southern and eastern side of the town https://t.co/ZmlCjwvi4i,0.0,32232.0,14285.0,0,Outbak  ✈️ CLE
541,541,Trump Was Right=> At Least Nine American Members of ISIS Were Immigrants to US https://shar.es/1dgRFv  via @gatewaypundit,0.0,140000.0,87.0,0,"St. Louis, Missouri"
543,543,ESU baseballs first game in MIAA Tournament postponed https://t.co/l1Ocbhy2RW https://t.co/ufFFDFG6d3,4998.0,25796.0,49813.0,0,ar ✈️ga ✈️tx
548,548,"""The Tainted Election"" California college teacher says Trump election victory an act of ""terrorism""  It's shocking. MUST BE FIRED! https://t.co/rWw9mdSV1g",28534.0,28685.0,2310.0,0,Most likely at some airport
550,550,20 Things I’d Tell My Former Single Self Now That I’m Married http://ow.ly/bkNh300hFQb,43700.0,43900.0,0.0,0,"Lagos, Nigeria"
562,562,Better to be slapped by the truth than kissed with a lie.,0.0,163000.0,366.0,0,Worldwide
567,567,MASAKI YODA -Think Your Heart- http://marsproject.dip.jp/mars_project6/mp3/free/masaki_yoda/Think_Your_Heart.htm … #Song #tune #música #ouvir #Japão #informação,,40700.0,0.0,0,Japan
570,570,"""Yeah but, if you WERE single, would you fancy me?""

""Yeah, okay, whatever you want Jose.""pic.twitter.com/8sZDGaiQyb",0.0,645000.0,1046.0,0,Bet Now
572,572,The season opener against @BadgerFootball on Sept. 3 will kickoff at 2:30 pm CT and air on ABC. #GeauxTigers,0.0,661000.0,457.0,0,"Baton Rouge, LA"
577,577,"For those wondering, yes, Andrew Luck is practicing normally. Let this be the merciful end of #AndrewLuckInjuryWatch.",0.0,32400.0,,0,
588,588,"Online predator pretended to be @Zoella to groom children, has been jailed for eight years http://trib.al/1zfjBIO",0.0,4920000.0,1547.0,0,"London, UK"
589,589,#BREAKING Crisis-hit Austria appoints new Chancellor Christian Kern,0.0,1560000.0,36.0,0,France
621,621,"Asking for help isn't a sign of weakness, ask Prof Nazira Karodia #AndAScientist #PhdAdvice http://ow.ly/eS2k300hRMK pic.twitter.com/3ScCo3WHCU",0.0,230000.0,,0,"London, UK"
629,629,2 Kansas administrators charged with failing to report abuse https://t.co/Dc6UBrq7tV https://t.co/KCNLIsHOvv,4255.0,25237.0,47158.0,0,United States
633,633,"Claim your girl, love your girl, do your girl, spoil your girl, be faithful to your girl, trust your girl, & she will stay your girl.",64800.0,79400.0,123.0,0,*Parody Account to Inspire*
644,644,From the Archives: Don Rickles on Live at Five https://t.co/2PVibNe7RY https://t.co/u1T1N0NbWn,13077.0,61651.0,50848.0,0,United States
645,645,'@mashable @theretronaut seems easy',8728.0,28796.0,5247.0,0,United States
647,647,"Klopp: ""Both teams took this tournament as really important. Now we are in the final. It's well deserved.""",378000.0,11200000.0,795.0,0,"Anfield, Liverpool"
666,666,This baby ain't even 5 yet and she's already cooler than mepic.twitter.com/xYimSqVkF5,,124000.0,305.0,0,
676,676,Special ed teacher allegedly had sex with several students https://t.co/aYmmHryLjb https://t.co/Nk0w5V60d4,9726.0,61699.0,58945.0,0,United States
682,682,Firefighter captain charged after fatally shooting 16-year-old https://t.co/8EdsZGsaTJ https://t.co/XT3Kox3o4u,5982.0,60798.0,43603.0,0,United States
683,683,Here comes the bride....https://twitter.com/michaelausiello/status/732313547796054018 …,0.0,229000.0,,0,
685,685,Choose someone who chooses you.,0.0,41100.0,,0,A place I'm happy to be
693,693,You don't even have a profile pic so you wouldn't won anyhow #unknown,0.0,66000.0,,0,▼ Watch My Videos
704,704,JK Rowling defends Donald Trump's right to be offensivehttp://ti.me/201uuig,0.0,15900000.0,150.0,0,
707,707,Take your pick: American Elite Telecaster vs. American Elite #Telecaster Thinline http://shop.fender.com/en-US/elite-series …pic.twitter.com/kh6VE0KUts,12000.0,644000.0,285.0,0,www.instagram.com/fender
715,715,"How @TrackManGolf can help you feel your swing more and think less, from @thirteenunder http://www.golfwrx.com/374872/how-trackman-can-help-you-feel-more-and-think-less/ …pic.twitter.com/9oqcOU4bIi",0.0,71800.0,15.0,0,
726,726,"The real desi toppers of UP board exam 2016, Sakshi..Pratima class 12th and Nisha Sahu 10th topper. Proud daugterspic.twitter.com/FqN5eyDyrV",0.0,95100.0,,0,"Lucknow, India"
729,729,the most entertaining people-watching happens in Las Vegas after midnight,16400.0,8070000.0,,0,🇨🇺 🇲🇽
731,731,We're looking forward to welcoming the Afro-Latino Festival here to the Schomburg on July 8! RSVP requiredhttps://twitter.com/FestivalAfrolat/status/732320477142765568 …,0.0,41000.0,19.0,0,"Harlem, NY"
735,735,"Hey Daz, sorry to hear you feel this way. Could you expand on what's happened for me? LB",0.0,269000.0,0.0,0,
757,757,"Just be strong, you'll get over it soon.",0.0,59600.0,13.0,0,Republic of the Philippines
758,758,We're not crying. You're crying.pic.twitter.com/7j3ColS5X5,0.0,1840000.0,,0,"Pittsburgh, PA"
761,761,Man tries to rape two Brooklyn women in their apartment buildings https://t.co/s02ZJ3bBWC https://t.co/V5WeRZc6sc,9433.0,61641.0,57262.0,0,United States
771,771,According to Liberals buzzfeed is a legitimate news source.. https://t.co/AIu45naAWK,42289.0,56601.0,4436.0,0,United States
777,777,"if it gets to u, it matters",24100.0,87200.0,,0,Pennsylvania
